,Unnamed: 0,Unnamed: 0.1.1,review_index,product_index,sentences,labelled_topic,labelled_sentiment,rating,sentence_ix
0,199340,199340,71008,3312, the pieces aren't too glossy/shiny and that is great when you  with an overhead light because super glossy pieces are almost impossible to see in that set up,3.0,1.0,5,199340
1,43567,43567,15520,136, i got this on sale for like half price and i thoroughly enjoyed doing it,4.0,1.0,5,43567
2,173685,173685,62254,2307,a wonderful ,4.0,1.0,5,173685
3,117952,117952,42136,812, it is actually a bit more difficult than you might think,1.0,-1.0,5,117952
4,176963,176963,63335,2377, the glow in the dark paint showed green in the dark and didn't light the fires or places that you would assume would be lighted,4.0,0.0,4,176963
5,152315,152315,54594,1669, at first i thought it would be too flimsy to hold the box upright but that isn't the case,4.0,0.0,4,152315
6,95939,95939,33939,513, if i were of a mind to preserve or frame a  this one would be at the top of my list,3.0,1.0,5,95939
7,97639,97639,34599,532,great thank you ,4.0,1.0,5,97639
8,41993,41993,14923,133,it's ok,4.0,1.0,3,41993
9,122579,122579,43825,880, arrived in only 9 days from overseas,4.0,0.0,5,122579
10,86293,86293,30476,393, ended up glueing and framing it for the game room,4.0,0.0,5,86293
11,186098,186098,66398,2710, our family is rather picky when it comes to s,4.0,0.0,5,186098
12,112420,112420,40036,712, the picture on the box looks great,3.0,1.0,5,112420
13,211543,211543,75313,4066,i enjoyed putting this  together,2.0,1.0,5,211543
14,212038,212038,75471,4103, the picture is so much fun,3.0,1.0,4,212038
15,48600,48600,17403,163, would recomend to anyone who is a  fanaticenjoyi did ,4.0,0.0,5,48600
16,170584,170584,61165,2200,simmons island and the surrounding islands,4.0,0.0,5,170584
17,52620,52620,18608,169,got this for my wife for christmas she was doing  on the dining room table and between the kid or the cats they were ruining her s everytime she had tried to make some progress on them,4.0,0.0,5,52620
18,80186,80186,28211,326, to the casual observer it seems he's just being sweet and cuddly,4.0,0.0,5,80186
19,17089,17089,6188,36, i have since purchased several s of this brand and have not been disappointed,4.0,0.0,5,17089
20,163302,163302,58661,2014, after a friend and i crawled all around the floor looking under rugs and furniture and found no missing pieces i can only conclude that the  came to me with two pieces missing,0.0,-1.0,3,163302
21,150055,150055,53790,1601, also you don't learn much about geography with such small lettering,4.0,0.0,2,150055
22,108631,108631,38624,655,love the detail of the animals ,3.0,1.0,5,108631
23,220760,220760,78136,4681,just ordered this ,4.0,0.0,5,220760
24,101201,101201,35930,581,this was a really fun  with lots of challenging objects in it yet doable,1.0,1.0,5,101201
25,82457,82457,29008,341, this was an expensive  to be such a waste of money,4.0,-1.0,1,82457
26,224077,224077,79182,5011, they don't interlock so even when you find where a piece goes it will simply sit there until you have filled in all of the piece around it,2.0,-1.0,1,224077
27,137993,137993,49351,1264,child really loves the  and after she was done we made it look better by hanging it on the wall,4.0,1.0,5,137993
28,169876,169876,60925,2184,wysocki s are my favorite,4.0,1.0,5,169876
29,67699,67699,23796,235,great ,4.0,1.0,5,67699
30,70608,70608,24910,255,oh easy have it done in 30 minutes,1.0,1.0,5,70608
31,168691,168691,60540,2149, this is really for a  expert,1.0,0.0,4,168691
32,7877,7877,2933,13,nice  pretty picture no missing pieces,0.0,1.0,5,7877
33,83966,83966,29618,357, the colors are crisp and the picture is amazing,3.0,1.0,5,83966
34,132943,132943,47590,1116,i do a lot of s,4.0,0.0,5,132943
35,73135,73135,25765,275, highly recommend it,4.0,0.0,5,73135
36,133568,133568,47797,1129, expensive but worth the price,4.0,0.0,5,133568
37,179026,179026,64134,2470, good quality,3.0,1.0,5,179026
38,155747,155747,55756,1768, this is unless you have nothing else to do be try to find on the tiny pieces ,4.0,0.0,2,155747
39,108504,108504,38589,654,nice ,4.0,0.0,5,108504
40,31921,31921,11466,91, what if many are duplicates and i am still missing one of the original 1k pieces,0.0,-1.0,2,31921
41,230131,230131,81193,6004, for anyone who loves cats or old toys,4.0,0.0,5,230131
42,131869,131869,47218,1096,good quality pieces and took half the time expected to finish largely due to the table format and element numerics on the  pieces,2.0,1.0,4,131869
43,49811,49811,17868,168,very enjoyable  to put together,4.0,0.0,4,49811
44,199827,199827,71148,3325,the picture is fun and the  not too challenging,1.0,1.0,5,199827
45,211854,211854,75415,4089, it's a totally different shape and has words in it like the qord god,4.0,0.0,1,211854
46,221607,221607,78406,4767, they don't lock together so sometimes i think i have connected the wrong pieces,2.0,-1.0,3,221607
